level	group	se	rank	jsd	fdr	nearest_gene	dist_kb	identity	cn_mean
OncotreeLineage	Biliary Tract	USE_15507	1	0.3344181765490115	0.16324566534853646	CNGB1	29		0.758
OncotreeLineage	Biliary Tract	USE_15506	2	0.3365341635728906	0.16656279421351505	CNGB1	34		0.758
OncotreeLineage	Biliary Tract	USE_15925	3	0.36042645592118083	0.2041110581536552	FOXL1	5		0.658
OncotreeLineage	Biliary Tract	USE_1760	4	0.3673361087721758	0.21612123191175478	SLC44A3	73		1.026
OncotreeLineage	Biliary Tract	USE_27332	5	0.3719293894350528	0.22437524112900617	ADAMTS9	433		0.656
OncotreeLineage	Biliary Tract	USE_1755	6	0.3907527990517724	0.25975623905027695	F3	71		0.991
OncotreeLineage	Biliary Tract	USE_1791	7	0.39199106151557994	0.26216847095105095	DPYD	151		0.986
OncotreeLineage	Biliary Tract	USE_11771	8	0.39581288362925726	0.26979283053211184	MYO16	128		0.779
OncotreeLineage	Biliary Tract	USE_24784	9	0.3988002094974662	0.276221191724407	BMP7	229		1.302
OncotreeLineage	Biliary Tract	USE_14330	10	0.40083052904964905	0.28066573377609894	ARNT2	87		1.008
OncotreeLineage	Biliary Tract	USE_15549	11	0.40344148135250985	0.2864073988746186	BEAN1	26		0.759
OncotreeLineage	Biliary Tract	USE_19982	12	0.4041020540952809	0.2877802944340626	SIGLEC8	18		0.898
OncotreeLineage	Biliary Tract	USE_41918	13	0.40449715124599456	0.28850462706344815	LCN2	1		0.923
OncotreeLineage	Biliary Tract	USE_42939	14	0.40469465255926795	0.2888628475746851	CDY1	31071		1.0
OncotreeLineage	Biliary Tract	USE_14194	15	0.406901148014626	0.29335151038668184	CYP11A1	31		1.017
OncotreeLineage	Bladder/Urinary Tract	USE_41579	1	0.39662603759963344	0.06935221848853097	PTPN3	100		1.174
OncotreeLineage	Bladder/Urinary Tract	USE_20043	2	0.3999367725183668	0.07118392415379991	VSTM1	13		0.702
OncotreeLineage	Bladder/Urinary Tract	USE_3506	3	0.42667936043343946	0.0917858986459008	GOLT1A	20		1.039
OncotreeLineage	Bladder/Urinary Tract	USE_41580	4	0.4268028423090728	0.09185479193556301	PTPN3	119		1.174
OncotreeLineage	Bladder/Urinary Tract	USE_486	5	0.42760320741260743	0.09262541966533347	UBXN10	20		1.098
OncotreeLineage	Bladder/Urinary Tract	USE_22142	6	0.4307173339723528	0.09652285752523941	GYPC	964		0.962
OncotreeLineage	Bladder/Urinary Tract	USE_2545	7	0.4431543490250297	0.11427362791219473	IVL	3		1.103
OncotreeLineage	Bladder/Urinary Tract	USE_25514	8	0.44372442774283066	0.11525588190225353	WDR4	48		1.147
OncotreeLineage	Bladder/Urinary Tract	USE_34405	9	0.4470442097346203	0.1206007192132701	HTR1E	621		0.884
OncotreeLineage	Bladder/Urinary Tract	USE_27788	10	0.4496970445524101	0.1254285685077563	TEX55	7		1.315
OncotreeLineage	Bladder/Urinary Tract	USE_3664	11	0.4539258552509171	0.1336964544752135	CAMK1G	214		1.077
OncotreeLineage	Bladder/Urinary Tract	USE_27790	12	0.4547715598551791	0.13556568910139666	UPK1B	12		1.221
OncotreeLineage	Bladder/Urinary Tract	USE_28466	13	0.45502231627491435	0.13610664074649262	GOLIM4	368		1.174
OncotreeLineage	Bladder/Urinary Tract	USE_3456	14	0.45713514915920184	0.14051544573065164	RABIF	46		0.995
OncotreeLineage	Bladder/Urinary Tract	USE_20032	15	0.4577729070674397	0.14191336075060834	DPRX	11		0.853
OncotreeLineage	Bone	USE_13093	1	0.19244806102725165	0.03621052547256651	VRK1	339		1.094
OncotreeLineage	Bone	USE_13092	2	0.21356150422991219	0.05333333209137703	VRK1	337		1.094
OncotreeLineage	Bone	USE_3242	3	0.237387307911547	0.05377926296170624	HMCN1	246		1.22
OncotreeLineage	Bone	USE_18121	4	0.24119136226696894	0.05377926296170624	APCDD1	9		1.084
OncotreeLineage	Bone	USE_38410	5	0.2500510357619531	0.05377926296170624	STMN4	33		1.285
OncotreeLineage	Bone	USE_26516	6	0.2541634961768398	0.05377926296170624	LMCD1	226		0.889
OncotreeLineage	Bone	USE_36057	7	0.26509545228041514	0.05377926296170624	NEUROD6	4		1.115
OncotreeLineage	Bone	USE_41696	8	0.26651857406291735	0.05377926296170624	TNC	345		1.035
OncotreeLineage	Bone	USE_41707	9	0.2694504537959661	0.05377926296170624	PAPPA	413		0.99
OncotreeLineage	Bone	USE_42547	10	0.26986914532636896	0.05377926296170624	XAGE1B	1		0.97
OncotreeLineage	Bone	USE_5901	11	0.27342973746512134	0.05377926296170624	XPNPEP1	702		0.993
OncotreeLineage	Bone	USE_29389	12	0.2753877333794622	0.05377926296170624	QDPR	391		0.887
OncotreeLineage	Bone	USE_3241	13	0.2754761000474614	0.05377926296170624	HMCN1	275		1.22
